Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Andre Roberts*+\RobeAn00,WR,NYJ,-29,-35,-34.30%,-38.50%,18,79,67,1,56%,0
Pierre Garcon\GarcPi00,WR,SF,-31,-37,-21.30%,-23.10%,46,286,243,1,52%,0
Andy Jones\JoneAn01,WR,DET,-31,-44,-29.00%,-35.60%,24,80,109,1,46%,0
James Washington\WashJa00,WR,PIT,-37,-51,-25.10%,-29.50%,38,217,190,1,42%,0
Marcell Ateman\AtemMa00,WR,OAK,-38,-57,-28.50%,-36.60%,31,154,137,1,48%,0
JJ Nelson\NelsJJ00,WR,ARI,-46,-40,-41.60%,-37.60%,19,64,62,0,37%,0
Auden Tate\TateAu00,WR,CIN,-48,-55,-65.00%,-73.60%,12,35,4,0,33%,0
DeVante Parker\ParkDe01,WR,MIA,-52,-59,-26.60%,-28.60%,48,309,226,1,51%,0
Justin Hunter\HuntJu00,WR,PIT,-54,-65,-64.20%,-74.00%,13,21,6,0,23%,0
Bruce Ellington\ElliBr00,WR,2TM,-56,-54,-30.30%,-29.70%,42,224,175,1,74%,0
Michael Floyd\FloyMi00,WR,WAS,-58,-53,-43.20%,-40.70%,24,100,68,1,42%,0
Maurice Harris\HarrMa05,WR,WAS,-73,-66,-33.20%,-31.10%,47,304,181,0,60%,0
DJ Chark\CharDJ00,WR,JAX,-90,-95,-47.40%,-49.00%,32,174,78,0,44%,1
Chad Williams\WillCh05,WR,ARI,-142,-139,-53.50%,-52.50%,46,171,74,1,37%,0
Kareem Hunt\HuntKa00,RB,KC,198,198,79.40%,79.70%,35,378,560,7,74%,0
Alvin Kamara*\KamaAl00,RB,NO,197,203,19.40%,20.50%,105,709,831,4,77%,0
James White\WhitJa02,RB,NE,194,200,13.50%,14.30%,123,751,907,7,71%,0
Tarik Cohen*+\CoheTa00,RB,CHI,184,197,21.30%,23.60%,91,725,757,5,78%,1
Christian McCaffrey\McCaCh01,RB,CAR,183,209,11.50%,15.20%,124,867,894,6,86%,2
Jalen Richard\RichJa01,RB,OAK,138,144,17.40%,18.90%,81,607,600,0,84%,0
Austin Ekeler\EkelAu00,RB,LAC,131,116,30.30%,25.40%,53,404,481,3,74%,1
Kenyan Drake\DrakKe00,RB,MIA,123,99,14.00%,8.60%,74,477,568,5,73%,0
James Conner*\ConnJa00,RB,PIT,112,102,15.20%,12.60%,71,497,503,1,77%,1
Matt Breida\BreiMa00,RB,SF,105,113,44.80%,49.00%,31,261,346,2,87%,0
Duke Johnson\JohnDu00,RB,CLE,103,101,12.90%,12.40%,62,429,488,3,76%,1
Todd Gurley*+\GurlTo01,RB,LAR,98,119,6.90%,11.50%,81,580,538,4,73%,1
Saquon Barkley*\BarkSa00,RB,NYG,86,79,-0.70%,-1.70%,121,721,643,4,75%,0
Jaylen Samuels\SamuJa00,RB,PIT,79,96,36.40%,47.00%,29,199,274,3,90%,0
Nyheim Hines\HineNy00,RB,IND,79,62,3.50%,-0.20%,81,425,488,2,78%,0
Tevin Coleman\ColeTe01,RB,ATL,77,80,17.20%,18.40%,44,276,335,5,73%,1
T.J. Yeldon\YeldT.00,RB,JAX,76,70,3.00%,1.60%,79,482,483,4,71%,0
Kyle Juszczyk*\JuszKy00,RB,SF,76,82,18.70%,21.60%,41,324,322,1,73%,1
Melvin Gordon*\GordMe00,RB,LAC,72,82,5.50%,8.20%,66,490,413,4,76%,1
Ezekiel Elliott*\ElliEz00,RB,DAL,52,59,-3.20%,-1.80%,95,567,457,3,81%,0
Adrian Peterson\PeteAd01,RB,WAS,50,50,22.30%,22.20%,26,208,203,1,77%,1
Jacquizz Rodgers\RodgJa00,RB,TB,49,52,7.10%,8.50%,45,304,269,0,84%,1
Wendell Smallwood\SmalWe00,RB,PHI,49,35,11.20%,4.30%,35,230,241,2,80%,0
Dalvin Cook\CookDa01,RB,MIN,45,54,2.10%,5.30%,49,305,297,2,82%,0
Elijah McGuire\McGuEl00,RB,NYJ,38,29,8.10%,2.70%,31,193,205,1,61%,0
Leonard Fournette\FourLe00,RB,JAX,37,40,9.60%,11.30%,26,185,191,1,85%,0
Aaron Jones\JoneAa00,RB,GB,33,32,2.20%,1.90%,35,206,212,1,74%,0
Mike Davis\DaviMi01,RB,SEA,31,16,-0.10%,-6.70%,42,214,228,1,81%,0
Corey Clement\ClemCo00,RB,PHI,29,30,5.80%,6.40%,25,192,163,0,88%,0
Kerryon Johnson\JohnKe06,RB,DET,20,41,-4.80%,4.30%,39,213,203,1,82%,0
Dion Lewis\LewiDi00,RB,TEN,15,28,-9.80%,-6.20%,67,400,290,1,88%,0
Nick Chubb\ChubNi00,RB,CLE,14,10,-4.60%,-7.30%,29,149,137,2,69%,0
Jamaal Williams\WillJa06,RB,GB,11,3,-9.30%,-12.40%,41,210,189,0,66%,0
Isaiah Crowell\CrowIs00,RB,NYJ,10,-2,-6.80%,-15.20%,28,152,126,0,75%,0
Latavius Murray\MurrLa00,RB,MIN,9,8,-7.50%,-8.70%,26,141,124,0,85%,0
Phillip Lindsay*\LindPh00,RB,DEN,9,14,-10.40%,-8.50%,47,241,206,1,74%,0
Giovani Bernard\BernGi00,RB,CIN,5,-12,-11.80%,-18.70%,48,218,179,0,73%,0
Theo Riddick\RiddTh00,RB,DET,4,-17,-12.70%,-18.50%,74,384,276,0,82%,0
Devontae Booker\BookDe00,RB,DEN,1,-10,-13.50%,-17.20%,51,275,210,0,75%,1
Ty Montgomery\MontTy01,RB,2TM,-1,6,-14.10%,-10.90%,40,235,155,0,63%,0
Javorius Allen\AlleJa01,RB,BAL,-4,-14,-15.40%,-19.80%,43,204,165,2,81%,1
Joe Mixon\MixoJo00,RB,CIN,-5,15,-15.30%,-9.30%,55,296,227,1,78%,0
Mark Ingram\IngrMa01,RB,NO,-7,-6,-18.80%,-18.00%,27,170,90,1,78%,1
Ito Smith\SmitIt00,RB,ATL,-8,-2,-17.70%,-15.00%,32,152,125,0,84%,0
Lamar Miller*\MillLa01,RB,HOU,-10,-15,-19.90%,-23.40%,35,163,93,1,71%,1
Chris Thompson\ThomCh03,RB,WAS,-10,-3,-17.30%,-15.00%,56,272,186,1,75%,0
Alfred Blue\BlueAl00,RB,HOU,-10,-12,-20.50%,-21.50%,27,154,87,0,74%,0
Marlon Mack\MackMa00,RB,IND,-10,-21,-21.30%,-29.00%,26,110,78,1,65%,1
Jordan Howard\HowaJo00,RB,CHI,-13,-4,-21.90%,-16.60%,27,145,85,0,74%,0
David Johnson\JohnDa08,RB,ARI,-13,-3,-17.10%,-14.50%,76,443,268,3,66%,1
Trenton Cannon\CannTr00,RB,NYJ,-23,-26,-30.20%,-32.00%,25,144,47,0,68%,0
LeSean McCoy\McCoLe01,RB,BUF,-26,-21,-24.50%,-22.50%,46,238,123,0,74%,0
Peyton Barber\BarbPe01,RB,TB,-34,-29,-35.10%,-31.90%,29,92,44,1,69%,0
Spencer Ware\WareSp00,RB,KC,85,79,56.10%,51.20%,23,224,262,0,87%,0
Damien Williams\WillDa05,RB,KC,74,60,33.90%,24.90%,24,160,263,2,96%,0
Frank Gore\GoreFr00,RB,MIA,49,55,35.40%,41.50%,16,124,171,1,75%,0
Andy Janovich\JanoAn00,RB,DEN,47,58,75.00%,95.50%,10,112,136,1,80%,0
Chris Ivory\IvorCh00,RB,BUF,47,59,31.30%,42.10%,21,205,173,0,62%,0
Dontrell Hilliard\HillDo00,RB,CLE,43,39,70.40%,62.70%,10,105,126,0,90%,0
Chris Carson\CarsCh00,RB,SEA,43,35,21.20%,15.00%,24,163,177,0,83%,0
Justin Jackson\JackJu01,RB,LAC,37,30,29.90%,22.50%,19,135,135,0,79%,0
Jeff Wilson\WilsJe01,RB,SF,17,25,4.90%,14.20%,15,98,99,0,80%,0
Darren Sproles\SproDa00,RB,PHI,16,16,-3.70%,-3.60%,23,160,145,2,65%,0
Corey Grant\GranCo00,RB,JAX,15,10,6.20%,-1.30%,12,67,85,0,75%,0
Taquan Mizzell\MizzTa00,RB,CHI,15,18,8.10%,13.60%,10,78,78,1,80%,0
C.J. Ham\HamxC.00,RB,MIN,14,4,1.30%,-9.70%,15,85,98,0,73%,0
Rashaad Penny\PennRa00,RB,SEA,12,11,8.30%,7.00%,12,75,60,0,75%,0
Alex Collins\CollAl00,RB,BAL,9,14,-6.60%,-2.50%,21,105,111,1,71%,0
Alfred Morris\MorrAl00,RB,SF,6,2,-6.70%,-11.80%,13,73,71,0,62%,0
Rex Burkhead\BurkRe00,RB,NE,5,8,-9.10%,-6.50%,20,131,92,1,70%,1
Rod Smith\SmitRo06,RB,DAL,3,-3,-9.00%,-18.10%,12,60,49,0,75%,0
Doug Martin\MartDo00,RB,OAK,3,0,-11.70%,-13.90%,24,116,95,0,75%,0
Bilal Powell\PoweBi00,RB,NYJ,-1,-4,-14.40%,-17.60%,18,110,72,1,61%,0
Zach Line\LineZa01,RB,NO,-2,-7,-16.80%,-23.80%,10,14,47,2,50%,0
Sony Michel\MichSo00,RB,NE,-3,-1,-18.40%,-15.40%,11,50,40,0,64%,0
Derrick Henry\HenrDe00,RB,TEN,-4,-12,-18.00%,-26.60%,18,99,60,0,83%,1
Zach Zenner\ZennZa00,RB,DET,-11,-7,-32.20%,-25.20%,10,56,20,0,70%,0
Marshawn Lynch\LyncMa00,RB,OAK,-17,-14,-28.50%,-26.00%,20,84,47,0,75%,0
Kalen Ballage\BallKa00,RB,MIA,-17,-12,-39.60%,-32.10%,11,56,12,0,82%,0
Chase Edmonds\EdmoCh00,RB,ARI,-19,-23,-27.70%,-31.00%,23,103,58,0,87%,0
Josh Adams\AdamJo03,RB,PHI,-19,-19,-37.90%,-37.40%,13,58,17,0,54%,0
Royce Freeman\FreeRo00,RB,DEN,-20,-17,-32.20%,-29.30%,20,72,37,0,70%,0
Kapri Bibbs\BibbKa00,RB,2TM,-26,-32,-34.80%,-39.50%,23,115,35,1,70%,1
James Develin\DeveJa00,RB,NE,-32,-30,-44.50%,-42.20%,17,61,9,0,71%,0
Jordan Wilkins\WilkJo01,RB,IND,-34,-36,-47.80%,-50.30%,17,85,1,0,94%,2
LeGarrette Blount\BlouLe00,RB,DET,-38,-43,-52.50%,-57.20%,15,67,-8,0,67%,1
Wayne Gallman\GallWa00,RB,NYG,-47,-43,-63.80%,-59.00%,22,89,-30,0,64%,2
Carlos Hyde\HydeCa00,RB,2TM,-51,-60,-73.30%,-83.40%,16,33,-44,0,63%,0
Marcus Murphy\MurpMa03,RB,BUF,-76,-74,-82.60%,-80.70%,19,26,-78,0,58%,0
George Kittle*\KittGe00,TE,SF,207,180,15.10%,12.10%,136,"1,377","1,231",5,65%,0
Travis Kelce*+\KelcTr00,TE,KC,196,206,11.50%,12.50%,150,"1,336","1,308",10,69%,2
O.J. Howard\HowaO.00,TE,TB,169,160,44.00%,41.30%,48,565,647,5,71%,0
Mark Andrews\AndrMa00,TE,BAL,159,149,36.20%,33.50%,50,552,655,3,68%,0
Jared Cook*\CookJa02,TE,OAK,146,143,13.80%,13.40%,101,896,899,6,67%,0
Rob Gronkowski\GronRo00,TE,NE,98,123,13.30%,18.60%,72,682,616,3,65%,1
Jesse James\JameJe00,TE,PIT,96,104,27.30%,30.20%,39,423,443,2,77%,0
Zach Ertz*\ErtzZa00,TE,PHI,93,120,1.60%,4.20%,155,"1,166","1,078",8,74%,1
Kyle Rudolph\RudoKy00,TE,MIN,91,59,8.60%,2.90%,82,634,681,4,78%,0
Ben Watson\WatsBe00,TE,NO,73,74,15.20%,15.50%,46,400,434,2,76%,0
Eric Ebron*\EbroEr00,TE,IND,68,51,2.00%,-0.40%,110,750,770,13,60%,0
Blake Jarwin\JarwBl00,TE,DAL,68,69,24.00%,24.40%,36,307,332,3,75%,0
Vernon Davis\DaviVe00,TE,WAS,60,63,19.00%,20.40%,36,367,321,2,69%,0
Greg Olsen\OlseGr00,TE,CAR,57,57,14.60%,14.50%,38,291,346,4,71%,0
Austin Hooper*\HoopAu00,TE,ATL,56,52,2.20%,1.50%,88,660,616,4,81%,0
Tyler Higbee\HigbTy00,TE,LAR,54,49,15.00%,13.00%,34,292,322,2,71%,1
Vance McDonald\McDoVa00,TE,PIT,51,48,3.60%,2.90%,72,609,507,4,69%,2
