Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
205,Orleans Darkwa\DarkOr00,NYG,25,RB,15,11,28,19,67.90%,116,6.1,0,13,4.1,1.3,7.7,1
206,Cody Latimer\LatiCo00,DEN,25,wr,11,1,31,19,61.30%,287,15.1,2,32,9.3,1.7,26.1,1
207,Braxton Miller\MillBr03,HOU,25,wr,11,3,29,19,65.50%,162,8.5,1,57,5.6,1.7,14.7,0
208,Aldrick Robinson\RobiAl00,SFO,29,wr,16,1,48,19,39.60%,260,13.7,2,45,5.4,1.2,16.3,0
209,Rod Smith\SmitRo06,DAL,25,rb,15,1,23,19,82.60%,202,10.6,1,81,8.8,1.3,13.5,0
210,Josh Gordon\GordJo02,CLE,26,wr,5,5,42,18,42.90%,335,18.6,1,54,8,3.6,67,0
211,Demetrius Harris\HarrDe03,KAN,26,te,16,7,35,18,51.40%,224,12.4,1,51,6.4,1.1,14,0
212,Lance Kendricks\KendLa00,GNB,29,TE,16,9,35,18,51.40%,203,11.3,1,51,5.8,1.1,12.7,0
213,Tavarres King\KingTa00,NYG,27,wr,8,3,37,18,48.60%,240,13.3,3,57,6.5,2.3,30,0
214,Brandon Marshall\MarsBr00,NYG,33,wr,5,5,33,18,54.50%,154,8.6,0,18,4.7,3.6,30.8,0
215,Chris Moore\MoorCh00,BAL,24,wr,13,4,38,18,47.40%,248,13.8,3,30,6.5,1.4,19.1,0
216,Eli Rogers\RogeEl00,PIT,25,wr,14,4,36,18,50.00%,149,8.3,1,18,4.1,1.3,10.6,1
